v	i	t	p	ty	q	est  	lst  	s  	e
1	1	cus	y	pkup	7	175000	235000	175000	175000
1	2	cus	n	pkup	9	522000	582000	522000	522000
1	3	cus	-	pkup	15	256000	316000	257035	257035
1	4	cus	y	pkup	5	529000	589000	584759	584759
1	5	cus	-	pkup	12	469000	529000	469000	469000
1	6	drv	y	pkup	1	0	1000000	0	0
1	7	drv	y	pkup	1	0	1000000	579945	579945
1	8	cus	y	drop	-7	209000	269000	209240	209240
1	9	cus	n	drop	-9	562000	622000	562735	562735
1	10	cus	-	drop	-15	261000	321000	262119	262119
1	11	cus	y	drop	-5	549000	609000	605185	605185
1	12	cus	-	drop	-12	470000	530000	470122	470122
1	13	drv	y	drop	-1	0	1000000	233408	233408
1	14	drv	y	drop	-1	0	1000000	621214	621214
1	15	veh	-	depot	0	0	1000000	0	0
1	16	veh	-	depot	0	0	1000000	621214	621214
