ds	cus	yes	veh	drv	model     	tlim	Sec	Obj	Var
AA	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	5	0.089	612045	28	0
AA	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	10	0.086	612045	28	0
AA	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	30	0.086	612045	28	0
AA	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	5	5.008	630631	52	0
AA	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	10	10.003	630631	52	0
AA	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	30	30.009	630631	52	0
AA	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	5	5.011	612045	123	0.016
AA	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	10	10.007	612045	123	0.016
AA	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	30	30.006	612045	123	0.016
AA	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	5	5.003	622452	161	0
AA	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	10	10.004	622452	161	0
AA	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	30	30.004	622452	161	0
AA	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	5	5.005	653019	199	0
AA	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	10	10.016	638540	199	0
AA	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	30	30.009	638540	199	0
AA	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.004	619565	350	0.016
AA	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.001	619565	350	0.016
AA	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.01	619565	350	0.016
AA	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.011	641187	409	0.016
AA	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.016	640203	409	0.016
AA	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.017	634656	409	0.016
AA	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.017	675258	460	0
AA	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.018	668327	460	0
AA	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.012	668327	460	0
AA	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.009	697638	511	0.015
AA	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.001	682297	511	0.015
AA	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.017	680024	511	0.015
AA	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.011	695187	740	0.016
AA	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.018	651041	740	0.016
AA	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.019	645716	740	0.016
AA	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.014	680349	800	0.016
AA	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.018	676750	800	0.016
AA	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.023	653784	800	0.016
AA	60	12	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.012	681246	870	0
AA	60	12	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.037	670217	870	0
AA	60	12	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.029	666953	870	0
AA	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.011	961194	935	0.016
AA	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.011	961194	935	0.016
AA	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.023	692691	935	0.016
AA	70	14	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.018	nfs	1015
AA	70	14	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.012	2314032	1015	0.016
AA	70	14	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.019	717881	1015	0.016
AA	75	15	5	3	DARP_Driver_ThreeStage_P2.mod	5	5.042	724198	1404	0.016
AA	75	15	5	3	DARP_Driver_ThreeStage_P2.mod	10	10.025	702613	1404	0.016
AA	75	15	5	3	DARP_Driver_ThreeStage_P2.mod	30	30.022	649506	1404	0.016
BB	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	5	0.012	559686	28	0
BB	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	10	0.012	559686	28	0
BB	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	30	0.012	559686	28	0
BB	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	5	5.002	595244	52	0
BB	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	10	10.002	595244	52	0
BB	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	30	30.005	595244	52	0
BB	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	5	0.519	559686	126	0.016
BB	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	10	0.523	559686	126	0.016
BB	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	30	0.524	559686	126	0.016
BB	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	5	1.368	559686	158	0.016
BB	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	10	1.413	559686	158	0.016
BB	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	30	1.361	559686	158	0.016
BB	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	5	2.914	559686	196	0
BB	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	10	2.671	559686	196	0
BB	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	30	2.712	559686	196	0
BB	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	5	0.871	584945	346	0.015
BB	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	10	0.927	584945	346	0.015
BB	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	30	0.928	584945	346	0.015
BB	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	5	1.712	584945	397	0.015
BB	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	10	1.71	584945	397	0.015
BB	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	30	1.702	584945	397	0.015
BB	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	5	2.166	584945	460	0
BB	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	10	2.154	584945	460	0
BB	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	30	2.321	584945	460	0
BB	45	9	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.033	656013	675	0.015
BB	45	9	4	2	DARP_Driver_ThreeStage_P2.mod	10	5.604	584945	675	0.015
BB	45	9	4	2	DARP_Driver_ThreeStage_P2.mod	30	5.486	584945	675	0.015
BB	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	5	3.456	584945	745	0
BB	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	10	3.403	584945	745	0
BB	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	30	3.327	584945	745	0
BB	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.014	739807	810	0.016
BB	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.005	607945	810	0.016
BB	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	30	10.822	584945	810	0.016
BB	60	12	6	2	DARP_Driver_ThreeStage_P2.mod	5	5.01	2500166	1284	0.015
BB	60	12	6	2	DARP_Driver_ThreeStage_P2.mod	10	10.005	1407667	1284	0.015
BB	60	12	6	2	DARP_Driver_ThreeStage_P2.mod	30	30.029	731160	1284	0.015
BB	65	13	6	2	DARP_Driver_ThreeStage_P2.mod	5	5.04	2615528	1377	0.031
BB	65	13	6	2	DARP_Driver_ThreeStage_P2.mod	10	10.008	2615528	1377	0.031
BB	65	13	6	2	DARP_Driver_ThreeStage_P2.mod	30	30.018	853198	1377	0.031
BB	70	14	6	2	DARP_Driver_ThreeStage_P2.mod	5	5.01	nfs	1477
BB	70	14	6	2	DARP_Driver_ThreeStage_P2.mod	10	10.018	2833616	1477	0.015
BB	70	14	6	2	DARP_Driver_ThreeStage_P2.mod	30	30.041	687991	1477	0.015
BB	75	15	6	3	DARP_Driver_ThreeStage_P2.mod	5	5.026	nfs	1667
BB	75	15	6	3	DARP_Driver_ThreeStage_P2.mod	10	10.007	nfs	1667
BB	75	15	6	3	DARP_Driver_ThreeStage_P2.mod	30	30.024	2869976	1667	0.016
