ds	cus	yes	veh	drv	model     	tlim	Sec	Obj	Var
AA	5	1	1	1	DARP_Driver1	5	0.01	612045	32
AA	5	1	1	1	DARP_Driver2	5	0.006	612045	28
AA	5	1	1	1	DARP_Driver1	10	0.007	612045	32
AA	5	1	1	1	DARP_Driver2	10	0.006	612045	28
AA	5	1	1	1	DARP_Driver1	30	0.007	612045	32
AA	5	1	1	1	DARP_Driver2	30	0.006	612045	28
AA	10	2	1	1	DARP_Driver1	5	5.002	630631	60
AA	10	2	1	1	DARP_Driver2	5	5.006	630631	52
AA	10	2	1	1	DARP_Driver1	10	10.006	630631	60
AA	10	2	1	1	DARP_Driver2	10	10.006	630631	52
AA	10	2	1	1	DARP_Driver1	30	30.006	630631	60
AA	10	2	1	1	DARP_Driver2	30	30.003	630631	52
AA	15	3	2	1	DARP_Driver1	5	5.003	612045	144
AA	15	3	2	1	DARP_Driver2	5	5.01	612045	123
AA	15	3	2	1	DARP_Driver1	10	10.014	612045	144
AA	15	3	2	1	DARP_Driver2	10	10.005	612045	123
AA	15	3	2	1	DARP_Driver1	30	30.017	612045	144
AA	15	3	2	1	DARP_Driver2	30	30.01	612045	123
AA	20	4	2	1	DARP_Driver1	5	5.017	845017	188
AA	20	4	2	1	DARP_Driver2	5	5.014	622452	161
AA	20	4	2	1	DARP_Driver1	10	10.016	845017	188
AA	20	4	2	1	DARP_Driver2	10	10.01	622452	161
AA	20	4	2	1	DARP_Driver1	30	30.012	622452	188
AA	20	4	2	1	DARP_Driver2	30	30.015	622452	161
AA	25	5	2	1	DARP_Driver1	5	5.014	638540	232
AA	25	5	2	1	DARP_Driver2	5	5.001	651363	199
AA	25	5	2	1	DARP_Driver1	10	10.008	638540	232
AA	25	5	2	1	DARP_Driver2	10	10.013	638540	199
AA	25	5	2	1	DARP_Driver1	30	30.012	638540	232
AA	25	5	2	1	DARP_Driver2	30	30.011	638540	199
AA	30	6	3	2	DARP_Driver1	5	5.013	645716	402
AA	30	6	3	2	DARP_Driver2	5	5.032	645716	350
AA	30	6	3	2	DARP_Driver1	10	10.006	645716	402
AA	30	6	3	2	DARP_Driver2	10	10.017	645716	350
AA	30	6	3	2	DARP_Driver1	30	30.024	645716	402
AA	30	6	3	2	DARP_Driver2	30	30.003	619565	350
AA	35	7	3	2	DARP_Driver1	5	5.036	645716	465
AA	35	7	3	2	DARP_Driver2	5	5.032	645716	409
AA	35	7	3	2	DARP_Driver1	10	10.03	645716	465
AA	35	7	3	2	DARP_Driver2	10	10.032	645716	409
AA	35	7	3	2	DARP_Driver1	30	30.022	645716	465
AA	35	7	3	2	DARP_Driver2	30	30.023	645716	409
AA	40	8	3	2	DARP_Driver1	5	5.014	673894	528
